

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
282.542  003.707  002.708: sourcing /home/tfkhdyt/.local/share/lunarvim/site/pack/packer/start/catppuccin/colors/catppuccin-mocha.vim
284.413  000.857  000.857: require('lualine_require')
287.945  005.089  004.232: require('lualine')
288.377  000.068  000.068: require('lvim.core.lualine.conditions')
288.451  000.068  000.068: require('lvim.core.lualine.colors')
288.477  000.281  000.145: require('lvim.core.lualine.components')
288.501  000.539  000.258: require('lvim.core.lualine.styles')
289.283  000.310  000.310: require('lualine.utils.loader')
291.868  000.412  000.412: require('catppuccin.palettes')
291.972  000.086  000.086: require('catppuccin.palettes.mocha')
313.830  000.430  000.430: require('lvim.core.commands')
314.136  000.162  000.162: require('lvim.lsp.handlers')
314.878  000.523  000.523: require('nlspsettings.config')
316.545  001.417  001.417: require('nlspsettings.log')
316.553  001.657  000.240: require('nlspsettings.utils')
316.572  002.349  000.169: require('nlspsettings')
317.879  001.161  001.161: require('nlspsettings.schemas')
317.895  001.281  000.120: require('nlspsettings.loaders.json')
318.598  000.177  000.177: require('mason-lspconfig')
319.064  000.458  000.458: require('mason-lspconfig.settings')
319.651  000.104  000.104: require('mason-core.notify')
319.667  000.400  000.296: require('mason-lspconfig.lspconfig_hook')
319.955  000.155  000.155: require('mason-lspconfig.server_config_extensions')
320.101  000.140  000.140: require('lspconfig.server_configurations.omnisharp')
320.360  000.087  000.087: require('mason-core.functional.number')
320.425  000.282  000.195: require('mason-lspconfig.api.command')
320.587  000.157  000.157: require('lvim.lsp.null-ls')
321.120  307.674  101.346: sourcing /home/tfkhdyt/.local/share/lunarvim/lvim/init.lua
321.140  007.358: sourcing vimrc file(s)
323.646  000.208  000.208: sourcing /home/tfkhdyt/.local/share/lunarvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
324.963  000.093  000.093: sourcing /home/tfkhdyt/.local/share/lunarvim/site/pack/packer/start/kdl.vim/ftdetect/kdl.vim
327.534  000.124  000.124: sourcing /home/tfkhdyt/.local/share/lunarvim/lvim/ftdetect/json.lua
327.621  000.047  000.047: sourcing /home/tfkhdyt/.local/share/lunarvim/lvim/ftdetect/plaintex.lua
327.712  000.037  000.037: sourcing /home/tfkhdyt/.local/share/lunarvim/lvim/ftdetect/zig.lua
327.771  005.527  005.018: sourcing /usr/share/nvim/runtime/filetype.lua
327.866  000.059  000.059: sourcing /usr/share/nvim/runtime/filetype.vim
329.984  000.246  000.246: sourcing /usr/share/nvim/runtime/syntax/synload.vim
330.400  002.342  002.096: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
335.207  000.621  000.621: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
335.330  000.016  000.016: sourcing /usr/share/nvim/runtime/plugin/health.vim
336.535  000.401  000.401: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
336.766  001.410  001.008: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
337.064  000.268  000.268: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
337.827  000.734  000.734: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
338.605  000.646  000.646: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
338.815  000.135  000.135: sourcing /usr/share/nvim/runtime/plugin/shada.vim
338.979  000.066  000.066: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
339.312  000.291  000.291: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
340.136  000.773  000.773: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
340.340  000.072  000.072: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
340.792  000.404  000.404: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
342.262  000.163  000.163: require('colorizer/nvim')
342.675  000.406  000.406: require('colorizer/trie')
343.519  001.607  001.037: require('colorizer')
346.877  000.301  000.301: require('alpha')
347.438  000.264  000.264: require('project_nvim.config')
347.790  000.135  000.135: require('project_nvim.utils.path')
347.825  000.362  000.227: require('project_nvim.utils.history')
347.829  000.767  000.142: require('project_nvim')
347.992  000.113  000.113: require('project_nvim.utils.globtopattern')
348.190  000.122  000.122: require('project_nvim.project')
387.792  000.126  000.126: require('luasnip.loaders.util')
387.813  000.365  000.239: require('luasnip.loaders.from_lua')
388.956  000.098  000.098: require('luasnip.nodes.snippetProxy')
388.969  000.229  000.130: require('luasnip.loaders.from_vscode')
408.140  000.247  000.247: require('luasnip.loaders.from_snipmate')
411.442  001.055  001.055: require('dap.utils')
411.626  001.535  000.480: require('dap')
413.345  000.272  000.272: require('dapui.config')
413.366  000.581  000.309: require('dapui.util')
413.593  000.129  000.129: require('dapui.render.canvas')
413.706  000.108  000.108: require('dapui.render.loop')
413.710  000.340  000.102: require('dapui.render')
413.817  000.104  000.104: require('dapui.windows.layout')
413.826  001.448  000.424: require('dapui.windows')
413.841  002.208  000.760: require('dapui')
414.138  000.199  000.199: require('dapui.config.highlights')
414.687  000.387  000.387: require('dapui.state')
414.810  000.096  000.096: require('dapui.elements.watches')
415.060  000.128  000.128: require('dapui.components.variables')
415.071  000.254  000.126: require('dapui.components.watches')
415.291  000.209  000.209: require('dapui.elements.stacks')
415.484  000.099  000.099: require('dapui.components.frames')
415.489  000.194  000.094: require('dapui.components.threads')
415.644  000.089  000.089: require('dapui.elements.breakpoints')
416.069  000.202  000.202: require('dapui.components.buf_breakpoints')
416.078  000.429  000.227: require('dapui.components.breakpoints')
416.256  000.080  000.080: require('dapui.components.hover')
416.262  000.169  000.090: require('dapui.elements.hover')
416.430  000.132  000.132: require('dapui.elements.repl')
416.514  000.076  000.076: require('dapui.elements.scopes')
416.594  000.076  000.076: require('dapui.components.scopes')
416.689  000.084  000.084: require('dapui.elements.console')
417.135  000.231  000.231: require('illuminate')
417.811  000.669  000.669: require('illuminate.config')
419.625  000.115  000.115: require('indent_blankline/utils')
419.636  000.460  000.345: require('indent_blankline')
420.376  000.082  000.082: require('nvim-ts-autotag._log')
420.391  000.260  000.178: require('nvim-ts-autotag.utils')
420.410  000.446  000.187: require('nvim-ts-autotag.internal')
420.413  000.551  000.104: require('nvim-ts-autotag')
420.674  000.107  000.107: require('lir')
436.001  000.344  000.344: require('nvim-navic')
437.276  000.151  000.151: require('nvim-autopairs._log')
437.410  000.120  000.120: require('nvim-autopairs.utils')
